"Año";"Periodo";"Castilla y León﻿ "
"2002";"Semestre 1";"2.454.840"
"2002";"Semestre 2";"2.458.042"
"2003";"Semestre 1";"2.463.623"
"2003";"Semestre 2";"2.467.429"
"2004";"Semestre 1";"2.471.114"
"2004";"Semestre 2";"2.475.274"
"2005";"Semestre 1";"2.482.805"
"2005";"Semestre 2";"2.487.533"
"2006";"Semestre 1";"2.494.676"
"2006";"Semestre 2";"2.502.598"
"2007";"Semestre 1";"2.514.202"
"2007";"Semestre 2";"2.528.372"
"2008";"Semestre 1";"2.541.717"
"2008";"Semestre 2";"2.546.405"
"2009";"Semestre 1";"2.549.174"
"2009";"Semestre 2";"2.547.569"
"2010";"Semestre 1";"2.547.408"
"2010";"Semestre 2";"2.545.387"
"2011";"Semestre 1";"2.545.286"
"2011";"Semestre 2";"2.541.364"
"2012";"Semestre 1";"2.537.654"
"2012";"Semestre 2";"2.526.973"
"2013";"Semestre 1";"2.518.528"
"2013";"Semestre 2";"2.506.320"
"2014";"Semestre 1";"2.495.689"
"2014";"Semestre 2";"2.485.335"
"2015";"Semestre 1";"2.478.079"
"2015";"Semestre 2";"2.464.417"
"2016";"Semestre 1";"2.454.454"
"2016";"Semestre 2";"2.444.061"
"2017";"Semestre 1";"2.435.867"
"2017";"Semestre 2";"2.423.340"
"2018";"Semestre 1";"2.418.556"
"2018";"Semestre 2";"2.410.369"
"2019";"Semestre 1";"2.407.733"
"2019";"Semestre 2";"2.402.729"
"2020";"Semestre 1";"2.401.307"
"2020";"Semestre 2";"2.391.404"
"2021";"Semestre 1";"2.386.649"
"2021";"Semestre 2";"2.379.184"
"2022";"Semestre 1";"2.376.687"
"2022";"Semestre 2";"2.375.970"
;;
;;
"Métrica":"Castilla y León﻿ "
"Fuente":"INE"
"Clasificación":""
"Unidad":"Número de personas"
"Escala":"Unidades"
"EscalaFactorPotencia10":"0"
"SonDatosNumericos":"True"
;;
;;
"Url":"https://www.epdata.es/evolucion-poblacion/4d9f26fa-ff32-4aad-bf83-7d03c79062ee/castilla-leon/295"
"Titulo":"Evolución de la población en Castilla y León﻿"
"Subtitulo":""
